OID_,giga_school_id,latitude,longitude,hex8,percent_3g,percent_4g,percent_2g,Included,Predicted,StdError
15375,G_NGA_036358,6.271631,7.289003,8858d6c317fffff,39.43,33.44,27.13,Yes,33.40625437,0.033993895
15376,G_NGA_036511,6.827102,7.56832,8858892567fffff,40.24,34.24,25.51,Yes,34.25335776,0.048691553
15377,G_NGA_036837,6.264309,7.381081,8858d6c0d1fffff,39.69,33.06,27.25,Yes,33.04730134,0.042201474
15378,G_NGA_036841,6.29572,7.371718333,8858d6c29dfffff,39.5,33.36,27.15,Yes,33.3217198,0.029796138
15483,G_NGA_008835,6.185072,7.080452,88588b3667fffff,38.86,33.97,27.17,Yes,33.97606287,0.048728937
15484,G_NGA_008989,6.251993,6.974993,88588bad49fffff,39.53,34.53,25.94,Yes,34.59913217,0.042011017
15485,G_NGA_009340,6.075407,6.970532,88588b31a1fffff,38.55,34.24,27.21,Yes,34.20940502,0.037841623
15486,G_NGA_009547,6.159698,6.992455,88588b32a1fffff,38.79,34.42,26.79,Yes,34.41598949,0.030669274
15488,G_NGA_010063,6.145826,6.77725,88588b0731fffff,40.39,32.97,26.64,Yes,33.09640773,0.027653925
15489,G_NGA_010160,6.084007,7.162574,88588b2645fffff,38.97,33.41,27.62,Yes,33.45158018,0.057358862
15490,G_NGA_010279,6.002893,7.284211,8858d6514dfffff,39.07,33.11,27.82,Yes,33.12984323,0.045364018
15551,G_NGA_024671,6.189756,6.748505,88588b15a3fffff,39.1,34.54,26.36,Yes,34.53005241,0.027713391
15598,G_NGA_033810,6.059283333,7.658906667,8858d60aebfffff,39.68,32.31,28.01,Yes,32.28544371,0.048498593
15599,G_NGA_034080,6.520565,7.4993833,8858d69ab3fffff,40.21,33.99,25.79,Yes,33.91474749,0.050590707
15600,G_NGA_034135,6.496155,7.50786,8858d698d7fffff,40.07,33.57,26.36,Yes,33.51721939,0.030885096
15601,G_NGA_034263,6.489363333,7.527496667,8858d6814dfffff,39.91,33.61,26.49,Yes,33.55486349,0.032981075
15602,G_NGA_034594,6.412055,7.488811667,8858d68b53fffff,39.51,32.79,27.7,Yes,32.88503668,0.021271493
