latitude,longitude,percent_2g,percent_3g,percent_4g
6.003230029,6.746892821,27.82210824,39.05510259,39.05510259
6.013258086,6.746892821,27.8305767,39.12561296,39.12561296
6.023286143,6.746892821,27.89728591,39.06447731,39.06447731
6.0333142,6.746892821,27.97274285,39.0024104,39.0024104
6.043342257,6.746892821,27.87279494,39.13892101,39.13892101
6.053370314,6.746892821,27.77316299,39.20089256,39.20089256
6.063398371,6.746892821,27.82562383,39.05736867,39.05736867
6.073426429,6.746892821,27.88162518,38.96198069,38.96198069
6.083454486,6.746892821,27.94113785,38.93933001,38.93933001
6.093482543,6.746892821,27.9815324,38.90371304,38.90371304
6.1035106,6.746892821,27.99393312,38.84892148,38.84892148
6.113538657,6.746892821,28.0105469,38.80574862,38.80574862
6.123566714,6.746892821,28.03080031,38.7813965,38.7813965
6.133594771,6.746892821,28.05352473,38.77922275,38.77922275
6.143622829,6.746892821,28.07833517,38.81592857,38.81592857
6.153650886,6.746892821,28.05958201,38.90645293,38.90645293
6.163678943,6.746892821,27.91901587,38.98831601,38.98831601
6.173707,6.746892821,27.90791159,39.0154761,39.0154761
6.183735057,6.746892821,27.92858548,39.02257219,39.02257219
6.193763114,6.746892821,27.93745743,39.0193171,39.0193171
6.203791171,6.746892821,27.94144051,39.01807491,39.01807491
6.213819229,6.746892821,27.92457127,39.05621486,39.05621486
6.223847286,6.746892821,27.88096751,39.1618355,39.1618355
6.233875343,6.746892821,27.83778855,39.25775395,39.25775395
6.2439034,6.746892821,27.79667509,39.31538293,39.31538293
6.253931457,6.746892821,27.79489185,39.32668808,39.32668808
6.263959514,6.746892821,27.83098462,39.29405095,39.29405095
6.273987571,6.746892821,27.86665449,39.25798284,39.25798284
6.284015629,6.746892821,27.8959914,39.24095432,39.24095432
6.294043686,6.746892821,27.90450115,39.21795202,39.21795202
6.304071743,6.746892821,27.89959641,39.1762649,39.1762649
6.3140998,6.746892821,27.97616467,39.18413181,39.18413181
6.324127857,6.746892821,28.12180418,39.18689435,39.18689435
6.334155914,6.746892821,28.2148425,39.13031781,39.13031781
6.344183971,6.746892821,28.25471389,39.08787213,39.08787213
6.354212029,6.746892821,28.25116722,39.10105547,39.10105547
6.364240086,6.746892821,28.25550156,39.17405517,39.17405517
6.374268143,6.746892821,28.24861753,39.19495565,39.19495565
6.3842962,6.746892821,28.22783798,39.16649656,39.16649656
6.394324257,6.746892821,28.2203083,39.12053158,39.12053158
6.404352314,6.746892821,28.23916661,39.12259492,39.12259492
6.414380371,6.746892821,28.24731673,39.14444375,39.14444375
6.424408429,6.746892821,28.24761119,39.17662707,39.17662707
6.434436486,6.746892821,26.47443147,38.59811917,38.59811917
6.444464543,6.746892821,26.46149659,38.6101014,38.6101014
6.4544926,6.746892821,26.44885721,38.62698784,38.62698784
6.464520657,6.746892821,26.43534432,38.64699261,38.64699261
6.474548714,6.746892821,26.42094817,38.66969427,38.66969427
6.484576771,6.746892821,26.41190692,38.69489941,38.69489941
6.494604829,6.746892821,26.42028906,38.72050349,38.72050349
6.504632886,6.746892821,26.45029445,38.74415125,38.74415125
6.514660943,6.746892821,26.49153041,38.76238025,38.76238025
6.524689,6.746892821,26.53012825,38.77528187,38.77528187
6.534717057,6.746892821,26.5613099,38.78539129,38.78539129
6.544745114,6.746892821,26.58656048,38.79609471,38.79609471
6.554773171,6.746892821,26.60771033,38.81061429,38.81061429
6.564801229,6.746892821,26.62478887,38.83181785,38.83181785
6.574829286,6.746892821,26.63782585,38.86079346,38.86079346
6.584857343,6.746892821,26.64884896,38.89462328,38.89462328
6.5948854,6.746892821,26.65917933,38.92721771,38.92721771
6.604913457,6.746892821,26.66500166,38.94999258,38.94999258
6.614941514,6.746892821,26.65768459,38.95279798,38.95279798
6.624969571,6.746892821,26.64766027,38.94494626,38.94494626
6.634997629,6.746892821,26.64512512,38.93547258,38.93547258
6.645025686,6.746892821,26.65387458,38.92763083,38.92763083
6.655053743,6.746892821,26.67364364,38.92183057,38.92183057
