longitude,latitude,percent_2g,percent_3g,percent_4g
6.74728,6.01097,27.279968,38.79130141,33.9212444
6.75728,6.01097,27.34074246,38.76341876,33.89319898
6.76728,6.01097,27.33328457,38.76651645,33.90019899
6.77728,6.01097,27.4248434,38.70947256,33.86568404
6.78728,6.01097,27.50676884,38.66605428,33.82717688
6.79728,6.01097,27.47682724,38.69624484,33.82692792
6.80728,6.01097,27.47287961,38.69872116,33.82839924
6.81728,6.01097,27.45999216,38.71682532,33.82436663
6.82728,6.01097,27.53717593,38.75039129,33.71691934
6.83728,6.01097,27.62905211,38.69224064,33.67306088
6.84728,6.01097,27.72489167,38.52237149,33.75273684
6.85728,6.01097,27.74419094,38.4963254,33.75834338
6.86728,6.01097,27.72012083,38.48037364,33.80934243
6.87728,6.01097,27.78073639,38.41106806,33.80270717
6.88728,6.01097,27.72866322,38.43826385,33.82447834
6.89728,6.01097,27.89851033,38.37822534,33.71782273
6.90728,6.01097,27.84838409,38.34794883,33.80071912
6.91728,6.01097,27.75170497,38.41970834,33.82858669
6.92728,6.01097,27.56299073,38.53948453,33.89952262
6.93728,6.01097,27.51774359,38.57145498,33.91080143
6.94728,6.01097,27.51406228,38.69792736,33.79069017
6.95728,6.01097,27.61720179,38.72779075,33.65925897
6.96728,6.01097,27.71879048,38.73155302,33.54712061
6.97728,6.01097,27.72610851,38.73389149,33.53364705
6.98728,6.01097,27.76267851,38.70320942,33.53200124
6.99728,6.01097,27.83805615,38.59902808,33.56193241
7.00728,6.01097,27.95171255,38.59361643,33.44762949
7.01728,6.01097,27.93818669,38.60032891,33.46148439
7.02728,6.01097,27.80576057,38.6903013,33.50393813
7.03728,6.01097,27.83645958,38.62806244,33.53547798
7.04728,6.01097,27.8394369,38.6434857,33.51421589
7.05728,6.01097,27.8405789,38.77300394,33.38386113
7.06728,6.01097,27.90332281,38.73525589,33.36142131
7.07728,6.01097,27.94531164,38.70710896,33.3475794
7.08728,6.01097,27.85587436,38.75735266,33.38677298
7.09728,6.01097,27.83835427,38.84961315,33.31203259
7.10728,6.01097,27.86661634,38.86309721,33.26728048
7.11728,6.01097,27.85708267,38.87234538,33.26541565
7.12728,6.01097,27.80578261,38.89067425,33.2974915
7.13728,6.01097,27.79905903,38.87376161,33.32717936
7.14728,6.01097,27.77107624,38.87909888,33.34982488
7.15728,6.01097,27.77321023,38.84773967,33.37653883
7.16728,6.01097,27.79529347,38.76736123,33.42867875
7.17728,6.01097,27.80474154,38.77971355,33.40861972
7.18728,6.01097,27.87156821,38.70427892,33.4205419
7.19728,6.01097,27.91589497,38.66948862,33.41461642
7.20728,6.01097,27.89551968,38.63805043,33.46642989
7.21728,6.01097,27.87115376,38.65881345,33.47003279
7.22728,6.01097,27.87308255,38.65512264,33.47179481
7.23728,6.01097,27.88477434,38.8232373,33.29198836
7.24728,6.01097,27.89688981,38.8481824,33.25492779
7.25728,6.01097,27.88052089,38.92237287,33.19710625
7.26728,6.01097,27.80076188,39.05492521,33.14431291
7.27728,6.01097,27.76217972,39.09423512,33.1442163
7.28728,6.01097,27.76730645,39.04001456,33.1846704
7.29728,6.01097,27.78898086,39.07428866,33.12987795
