longitude,latitude,percent_2g,percent_3g,percent_4g
6.7467,6.011714286,27.39077443,38.73387156,33.83919361
6.7567,6.011714286,27.43799516,38.71914444,33.84234055
6.7667,6.011714286,27.48506862,38.6738447,33.84137303
6.7767,6.011714286,27.52258129,38.62322031,33.83297381
6.7867,6.011714286,27.54445246,38.58810268,33.81589812
6.7967,6.011714286,27.55062736,38.57863286,33.79094258
6.8067,6.011714286,27.54762073,38.59250771,33.76067396
6.8167,6.011714286,27.5466123,38.61764225,33.72898901
6.8267,6.011714286,27.55964118,38.63769264,33.70052899
6.8367,6.011714286,27.59514001,38.63823511,33.67994874
6.8467,6.011714286,27.65434897,38.61161005,33.67106481
6.8567,6.011714286,27.72993446,38.55922802,33.6759776
6.8667,6.011714286,27.80745515,38.49106836,33.69434586
6.8767,6.011714286,27.86937656,38.42284221,33.72303994
6.8867,6.011714286,27.90044346,38.37171687,33.75637341
6.8967,6.011714286,27.89268629,38.35166907,33.78699496
6.9067,6.011714286,27.84836843,38.36956147,33.80733956
6.9167,6.011714286,27.77979606,38.42295392,33.81134322
6.9267,6.011714286,27.70592869,38.5003888,33.79599135
6.9367,6.011714286,27.6468109,38.58433361,33.7622538
6.9467,6.011714286,27.6176164,38.65615466,33.71508215
6.9567,6.011714286,27.62426777,38.70167418,33.66238407
6.9667,6.011714286,27.66208564,38.71541787,33.61317731
6.9767,6.011714286,27.71788793,38.70192035,33.57537526
6.9867,6.011714286,27.77476279,38.6734727,33.55378602
6.9967,6.011714286,27.81780759,38.64512414,33.54887171
7.0067,6.011714286,27.83880799,38.62896235,33.55661952
7.0167,6.011714286,27.83825061,38.63007891,33.56957483
7.0267,6.011714286,27.82407103,38.64590956,33.57876879
7.0367,6.011714286,27.80775971,38.66909088,33.57603013
7.0467,6.011714286,27.79942073,38.69230829,33.55607338
7.0567,6.011714286,27.80373002,38.71264535,33.51782841
7.0667,6.011714286,27.81833964,38.7331891,33.46469271
7.0767,6.011714286,27.83528058,38.76101466,33.40368291
7.0867,6.011714286,27.844722,38.80250694,33.34374837
7.0967,6.011714286,27.83951832,38.85837168,33.29370979
7.1067,6.011714286,27.8186799,38.92094163,33.26034986
7.1167,6.011714286,27.78834756,38.9753603,33.24710332
7.1267,6.011714286,27.75985097,39.00441894,33.25360456
7.1367,6.011714286,27.74558531,38.99510299,33.27611203
7.1467,6.011714286,27.75429155,38.94408467,33.30860952
7.1567,6.011714286,27.78754745,38.85983931,33.34424174
7.1667,6.011714286,27.83879576,38.76051763,33.37670433
7.1767,6.011714286,27.89526044,38.66847446,33.401274
7.1867,6.011714286,27.94202286,38.60363588,33.41530164
7.1967,6.011714286,27.96676493,38.57816639,33.41815421
7.2067,6.011714286,27.96351045,38.59415091,33.4107316
7.2167,6.011714286,27.93414258,38.6446648,33.39476961
7.2267,6.011714286,27.88733663,38.71730558,33.37215406
7.2367,6.011714286,27.8354716,38.79853413,33.34442357
7.2467,6.011714286,27.79072447,38.87722501,33.31255144
7.2567,6.011714286,27.76169875,38.94649002,33.27700215
7.2667,6.011714286,27.75159347,39.00371602,33.23798127
7.2767,6.011714286,27.75826559,39.04943233,33.19575743
7.2867,6.011714286,27.7758561,39.08585498,33.15093453
7.2967,6.011714286,27.79719189,39.11575415,33.10458498
7.3067,6.011714286,27.81607089,39.14186425,33.05820594
7.3167,6.011714286,27.82876253,39.16667054,33.01351424
7.3267,6.011714286,27.83446285,39.19224774,32.97213863
7.3367,6.011714286,27.83484304,39.21992635,32.93529292
7.3467,6.011714286,27.83307526,39.24980901,32.90351732
7.3567,6.011714286,27.83275741,39.28037992,32.87656007
7.3667,6.011714286,27.83703523,39.30851243,32.85344158
7.3767,6.011714286,27.84803957,39.33005179,32.83270276
7.3867,6.011714286,27.86661905,39.34090745,32.81279562
7.3967,6.011714286,27.89230392,39.3383585,32.79253224
7.4067,6.011714286,27.92346863,39.32216349,32.77147673
7.4167,6.011714286,27.9577048,39.2951062,32.75015086
7.4267,6.011714286,27.99240848,39.2627577,32.72993511
7.4367,6.011714286,28.02549669,39.2324059,32.71258584
7.4467,6.011714286,28.05603076,39.21122839,32.69935512
7.4567,6.011714286,28.08441128,39.203846,32.68978285
7.4667,6.011714286,28.11180573,39.20943768,32.6803177
7.4767,6.011714286,28.13862171,39.21868385,32.6629945
7.4867,6.011714286,28.16212885,39.21096622,32.62443377
6.7467,6.021714286,27.3181877,38.78242434,33.85663645
6.7567,6.021714286,27.36311846,38.7901918,33.87345309
6.7667,6.021714286,27.41007132,38.75545723,33.87999767
6.7767,6.021714286,27.44893742,38.70797267,33.87355233
6.7867,6.021714286,27.47323849,38.67232056,33.85414974
6.7967,6.021714286,27.48264747,38.66076893,33.8241561
6.8067,6.021714286,27.48333596,38.67149895,33.78762908
6.8167,6.021714286,27.4859939,38.69187834,33.74960589
6.8267,6.021714286,27.50213273,38.70483131,33.71539366
6.8367,6.021714286,27.53986307,38.69571937,33.68986682
6.8467,6.021714286,27.60054825,38.65750767,33.6767614
6.8567,6.021714286,27.67749932,38.59297317,33.67800075
6.8667,6.021714286,27.75725913,38.51380124,33.69316275
6.8767,6.021714286,27.82320294,38.43723525,33.71925805
6.8867,6.021714286,27.86041521,38.38136246,33.75098647
6.8967,6.021714286,27.86033692,38.36022978,33.78155214
6.9067,6.021714286,27.82368176,38.37993057,33.80396324
6.9167,6.021714286,27.76061742,38.43664705,33.81256818
6.9267,6.021714286,27.68806158,38.51730619,33.80445131
6.9367,6.021714286,27.62488221,38.6029201,33.78028673
6.9467,6.021714286,27.58650388,38.67387048,33.74435167
6.9567,6.021714286,27.58064829,38.71560575,33.70361307
6.9667,6.021714286,27.60557925,38.72283179,33.66606248
6.9767,6.021714286,27.6513818,38.7006102,33.6387042
6.9867,6.021714286,27.70376631,38.66185156,33.6257243
6.9967,6.021714286,27.74901977,38.6221352,33.62734098
7.0067,6.021714286,27.77834818,38.59396197,33.6396623
7.0167,6.021714286,27.79011513,38.58284793,33.655606
7.0267,6.021714286,27.78929113,38.58686474,33.66664744
7.0367,6.021714286,27.78448635,38.59963462,33.66493978
7.0467,6.021714286,27.78384216,38.61513786,33.6452591
7.0567,6.021714286,27.79145637,38.63180613,33.60628684
7.0667,6.021714286,27.80575859,38.65372795,33.5509315
7.0767,6.021714286,27.82043858,38.68824523,33.48565057
7.0867,6.021714286,27.82748802,38.74107107,33.41898781
7.0967,6.021714286,27.82106035,38.81138829,33.35972111
7.1067,6.021714286,27.80052712,38.88952334,33.31507984
7.1167,6.021714286,27.77143917,38.9586477,33.28943198
7.1267,6.021714286,27.74394922,39.00008829,33.28368761
7.1367,6.021714286,27.72927277,39.00013032,33.29546755
7.1467,6.021714286,27.73554602,38.95547252,33.31990143
7.1567,6.021714286,27.76467384,38.87506113,33.35079298
7.1667,6.021714286,27.81136681,38.77758219,33.38184753
7.1767,6.021714286,27.86471478,38.68568704,33.40769457
7.1867,6.021714286,27.91168507,38.61925734,33.42453381
7.1967,6.021714286,27.94124363,38.59019397,33.43035296
7.2067,6.021714286,27.94763221,38.60036612,33.4247721
7.2167,6.021714286,27.93172736,38.6429573,33.40864135
7.2267,6.021714286,27.90017105,38.70615315,33.38354206
7.2367,6.021714286,27.86277758,38.77745189,33.35132473
7.2467,6.021714286,27.8292743,38.84701268,33.31377143
7.2567,6.021714286,27.80653978,38.90918666,33.27241705
7.2667,6.021714286,27.79717246,38.96227511,33.22851647
7.2767,6.021714286,27.79963441,39.00721412,33.18311413
7.2867,6.021714286,27.80962714,39.0460714,33.13715968
7.2967,6.021714286,27.82199464,39.08099374,33.09161593
7.3067,6.021714286,27.83241452,39.11378735,33.04751755
7.3167,6.021714286,27.83838694,39.14591802,33.0059564
7.3267,6.021714286,27.8394085,39.17856331,32.96798916
7.3367,6.021714286,27.8365444,39.2124538,32.93448316
7.3467,6.021714286,27.83176204,39.24748948,32.90593574
7.3567,6.021714286,27.82733909,39.28234273,32.88231794
7.3667,6.021714286,27.82548353,39.31433656,32.86299901
7.3767,6.021714286,27.82812133,39.33979282,32.8468004
7.3867,6.021714286,27.83672125,39.35484708,32.83220133
7.3967,6.021714286,27.8520688,39.35653442,32.81767615
7.4067,6.021714286,27.87402727,39.34384801,32.80209265
7.4167,6.021714286,27.90143926,39.31847729,32.78505457
7.4267,6.021714286,27.9323376,39.2850037,32.76704583
7.4367,6.021714286,27.96451559,39.25040707,32.74924192
7.4467,6.021714286,27.99629248,39.22277949,32.73290196
7.4567,6.021714286,28.02710155,39.20917904,32.71833901
7.4667,6.021714286,28.05743917,39.21264168,32.70357108
7.4767,6.021714286,28.08781779,39.22856377,32.68285885
7.4867,6.021714286,28.11666215,39.24096667,32.64541076
6.7467,6.031714286,27.21144558,38.86496834,33.90941882
6.7567,6.031714286,27.26077233,38.88136744,33.93940688
6.7667,6.031714286,27.31288438,38.84751261,33.95330004
6.7767,6.031714286,27.35706521,38.79745407,33.94920345
6.7867,6.031714286,27.38675713,38.75871175,33.92835444
6.7967,6.031714286,27.40169844,38.74469519,33.89435003
6.8067,6.031714286,27.40790301,38.7532489,33.85223785
6.8167,6.031714286,27.41553344,38.77066797,33.80768234
6.8267,6.031714286,27.43536221,38.77884401,33.76628709
6.8367,6.031714286,27.47493365,38.76266903,33.73304165
6.8467,6.031714286,27.53562368,38.71536813,33.71181578
6.8567,6.031714286,27.61153051,38.6405747,33.70486014
6.8667,6.031714286,27.69059498,38.55113257,33.71236219
6.8767,6.031714286,27.75769237,38.46542319,33.73219616
6.8867,6.031714286,27.79883999,38.40238392,33.76004013
6.8967,6.031714286,27.80529884,38.37644535,33.7899804
6.9067,6.031714286,27.77633091,38.39353981,33.81558836
